===== PAGE 1 =====

Công ty FPT
Số 123 đường XYZ, P.ABC, Q.1, TP.HCM
Mã số thuế: 0100123456

SỔ TÀI SẢN CỐ ĐỊNH
Năm: 2025

| STT | SỐ HIỆU | TÊN, ĐẶC ĐIỂM, KÝ HIỆU TSCĐ | NƯỚC SẢN XUẤT | NGÀY ĐƯA VÀO SD | SỐ HIỆU TSCĐ | NGUYÊN GIÁ TSCĐ | TỶ LỆ (%) KH | MỨC KHẤU HAO | SỐ | NGÀY, THÁNG, NĂM | LÝ DO GIẢM TSCĐ |
| :-- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | 0000001 | Ô tô - FPT001 | Hàn Quốc | 01-01-2025 | TS001 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 2 | 0000002 | Ô tô - FPT002 | Đức | 01-01-2025 | TS002 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 3 | 0000003 | Máy tính - FPT003 | Pháp | 01-01-2025 | TS003 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 4 | 0000004 | Đèn chiếu sáng - FPT004 | Thái Lan | 01-01-2025 | TS004 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 5 | 0000005 | Máy scan - FPT005 | Trung Quốc | 01-01-2025 | TS005 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 6 | 0000006 | Máy lạnh - FPT006 | Ý | 01-01-2025 | TS006 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 7 | 0000007 | Đèn chiếu sáng - FPT007 | Hàn Quốc | 01-01-2025 | TS007 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 8 | 0000008 | Máy cắt CNC - FPT008 | Ý | 01-01-2025 | TS008 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 9 | 0000009 | Tivi - FPT009 | Mỹ | 01-01-2025 | TS009 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 10 | 0000010 | Ô tô - FPT010 | Trung Quốc | 01-01-2025 | TS010 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 11 | 0000011 | Máy scan - FPT011 | Ý | 01-01-2025 | TS011 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 12 | 0000012 | Điện thoại - FPT012 | Pháp | 01-01-2025 | TS012 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 13 | 0000013 | Điện thoại - FPT013 | Mỹ | 01-01-2025 | TS013 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 14 | 0000014 | Máy cắt CNC - FPT014 | Hàn Quốc | 01-01-2025 | TS014 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 15 | 0000015 | Bàn làm việc - FPT015 | Trung Quốc | 01-01-2025 | TS015 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 16 | 0000016 | Camera an ninh - FPT016 | Mỹ | 01-01-2025 | TS016 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 17 | 0000017 | Thiết bị mạng - FPT017 | Pháp | 01-01-2025 | TS017 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 18 | 0000018 | Thiết bị đo lường - FPT018 | Đức | 01-01-2025 | TS018 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 19 | 0000019 | Điện thoại - FPT019 | Mỹ | 01-01-2025 | TS019 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
| 20 | 0000020 | Thiết bị mạng - FPT020 | Pháp | 01-01-2025 | TS020 | 50.000.000.000 VND | 10 | 5.000.000.000 VND | | | |
